has_preamble,preamble_text,question,answer,subject,subject_topic,form,difficulty,question_type
No,None,"Clue 1: It is a compound of a metal and a non-metal.
 Clue 2: It is a metalloid.
 Clue 3: It is a member of the p-block.
 Clue 4: It is a semiconductor.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a colorless, odorless, tasteless, nonflammable gas.
 Clue 2: I am one of the most abundant elements in the Earth's crust.
 Clue 3: I am a component of the Earth's atmosphere.
 Clue 4: I am the most abundant element in the universe.",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: A substance that when dissolved in water increases the temperature of the solution.
 Clue 2: A substance that dissolves in water but does not ionize.
 Clue 3: A substance that dissolves in water but does not ionize.
 Clue 4: A substance that dissolves in water but does not ionize.",Salt<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is a gas at room temperature and pressure
 Clue 2: I am a substance that has a sweet smell
 Clue 3: I am a substance that is colorless
 Clue 4: I am a substance that is a liquid at lower temperatures and pressure",Hydrogen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is a gas at room temperature and pressure
 Clue 2: I am a substance that has a sweet smell
 Clue 3: I am a substance that is colorless
 Clue 4: I am a substance that is a liquid at lower temperatures and pressure",Hydrogen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is a gas at room temperature and pressure
 Clue 2: I am a substance that has a sweet smell
 Clue 3: I am a substance that is colorless
 Clue 4: I am a substance that is a liquid at lower temperatures and pressure",Hydrogen<|end_of_text|>,Chemistry,,,,5
No,None,"I am the product of the combustion of hydrocarbons in a rich air-fuel mixture.
 Clue 1: I am a colourless gas.
 Clue 2: I am used as an anaesthetic.
 Clue 3: I am a product of incomplete combustion.
 Clue 4: I am a greenhouse gas.",Carbon Monoxide<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a compound in which the atoms are bonded by covalent bonds.
 Clue 2: I am a chemical substance whose molecules consist of more than one type of atom.
 Clue 3: I am a substance that cannot be separated into simpler substances by physical means.
 Clue 4: I am a pure substance consisting of two or more elements chemically combined in a fixed proportion by mass.",Compound<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a compound in which the atoms are bonded by covalent bonds.
 Clue 2: I am a chemical substance whose molecules consist of more than one type of atom.
 Clue 3: I am a substance that cannot be separated into simpler substances by physical means.
 Clue 4: I am a pure substance consisting of two or more elements chemically combined in a fixed proportion by mass.",Compound<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a product of the reaction between a base and an acid.
 Clue 2: It is a compound of hydrogen and oxygen.
 Clue 3: It is a colourless liquid.
 Clue 4: It is used as a cleaning agent.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a product of the reaction between a base and an acid.
 Clue 2: It is a compound of hydrogen and oxygen.
 Clue 3: It is a colourless liquid.
 Clue 4: It is used as a cleaning agent.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a product of the reaction between a base and an acid.
 Clue 2: It is a compound of hydrogen and oxygen.
 Clue 3: It is a colourless liquid.
 Clue 4: It is used as a cleaning agent.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a solid at room temperature
 Clue 2: It is a metal
 Clue 3: It is used in the manufacture of copper
 Clue 4: It is the most abundant metal in the Earth's crust",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a solid at room temperature
 Clue 2: It is a metal
 Clue 3: It is used in the manufacture of copper
 Clue 4: It is the most abundant metal in the Earth's crust",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a solid at room temperature
 Clue 2: It is a metal
 Clue 3: It is used in the manufacture of copper
 Clue 4: It is the most abundant metal in the Earth's crust",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is not a mixture.
 Clue 2: I am a substance that is composed of one type of atom.
 Clue 3: I am a substance that has the same properties throughout.
 Clue 4: I am a substance that has the same composition throughout.",Element<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a gas.
 Clue 2: It is a component of the atmosphere.
 Clue 3: It is a component of the earth's crust.
 Clue 4: It is a component of the ocean.",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a gas.
 Clue 2: It is a component of the atmosphere.
 Clue 3: It is a component of the earth's crust.
 Clue 4: It is a component of the ocean.",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a gas.
 Clue 2: It is a component of the atmosphere.
 Clue 3: It is a component of the earth's crust.
 Clue 4: It is a component of the ocean.",Oxygen<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a substance that contains hydrogen and oxygen in the ratio of 1:1 by weight.
 Clue 2: It is a gas at room temperature.
 Clue 3: It is a product of the reaction between potassium and water.
 Clue 4: It is used in the manufacture of many substances.",Hydrogen peroxide<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is the substance that a plant needs for photosynthesis
 Clue 2: It is a gas at room temperature
 Clue 3: It is a component of air
 Clue 4: It is required for the formation of carbohydrates",Carbon dioxide<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is the substance that a plant needs for photosynthesis
 Clue 2: It is a gas at room temperature
 Clue 3: It is a component of air
 Clue 4: It is required for the formation of carbohydrates",Carbon dioxide<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a gas.
 Clue 2: It is colorless and odorless.
 Clue 3: It is a component of the atmosphere.
 Clue 4: It is an inert gas.",Argon<|end_of_text|>,Chemistry,,,,5
No,None,A compound containing a metal and a non-metal is a,Salt<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a gas.
 Clue 2: I am a product of a combustion reaction.
 Clue 3: I am a gas that is released during the burning of a candle.
 Clue 4: I am a gas that is released during the burning of natural gas.",Carbon dioxide<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that gives off light when heated
 Clue 2: I am a substance that gives off light when heated
 Clue 3: I am a substance that gives off light when heated
 Clue 4: I am a substance that gives off light when heated",Phosphorus<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that gives off light when heated
 Clue 2: I am a substance that gives off light when heated
 Clue 3: I am a substance that gives off light when heated
 Clue 4: I am a substance that gives off light when heated",Phosphorus<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that gives off light when heated
 Clue 2: I am a substance that gives off light when heated
 Clue 3: I am a substance that gives off light when heated
 Clue 4: I am a substance that gives off light when heated",Phosphorus<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 2: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.
 Clue 3: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 4: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.",Specific Heat Capacity<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 2: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.
 Clue 3: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 4: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.",Specific Heat Capacity<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 2: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.
 Clue 3: I am the amount of energy needed to raise the temperature of one mole of a substance by one degree Celsius.
 Clue 4: I am the amount of heat required to raise the temperature of a given mass of a substance by one degree Celsius.",Specific Heat Capacity<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that dissolves in water is said to be a solute. What is the solvent?
 Clue 1: The substance that dissolves in the solute is the solvent.
 Clue 2: The solvent dissolves the solute.
 Clue 3: The solvent is the dissolving medium.
 Clue 4: The solvent is the liquid in which the solute dissolves.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that dissolves in water is said to be a solute. What is the solvent?
 Clue 1: The substance that dissolves in the solute is the solvent.
 Clue 2: The solvent dissolves the solute.
 Clue 3: The solvent is the dissolving medium.
 Clue 4: The solvent is the liquid in which the solute dissolves.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that dissolves in water is said to be a solute. What is the solvent?
 Clue 1: The substance that dissolves in the solute is the solvent.
 Clue 2: The solvent dissolves the solute.
 Clue 3: The solvent is the dissolving medium.
 Clue 4: The solvent is the liquid in which the solute dissolves.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that dissolves in water is said to be a solute. What is the solvent?
 Clue 1: The substance that dissolves in the solute is the solvent.
 Clue 2: The solvent dissolves the solute.
 Clue 3: The solvent is the dissolving medium.
 Clue 4: The solvent is the liquid in which the solute dissolves.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that dissolves in water is said to be a solute. What is the solvent?
 Clue 1: The substance that dissolves in the solute is the solvent.
 Clue 2: The solvent dissolves the solute.
 Clue 3: The solvent is the dissolving medium.
 Clue 4: The solvent is the liquid in which the solute dissolves.",Water<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a mixture of two or more substances.
 Clue 2: It is a heterogeneous mixture.
 Clue 3: It is a mixture of two or more pure substances.
 Clue 4: It is a heterogeneous mixture.",Mixture<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a mixture of two or more substances.
 Clue 2: It is a heterogeneous mixture.
 Clue 3: It is a mixture of two or more pure substances.
 Clue 4: It is a heterogeneous mixture.",Mixture<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a compound that is made up of carbon, hydrogen and oxygen.
 Clue 2: I am a simple sugar.
 Clue 3: I am found in fruits and vegetables.
 Clue 4: I am a type of carbohydrate.",Glucose<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is the smallest particle of an element.
 Clue 2: It is the basic unit of an element.
 Clue 3: It is the smallest unit of an element.
 Clue 4: It is the fundamental particle of an element.",Atom<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is not a metal but is a good conductor of electricity.
 Clue 2: I am a good conductor of heat.
 Clue 3: I am a good absorber of light.
 Clue 4: I am a poor reflector of light.",Carbon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is not a metal but is a good conductor of electricity.
 Clue 2: I am a good conductor of heat.
 Clue 3: I am a good absorber of light.
 Clue 4: I am a poor reflector of light.",Carbon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a substance that is not a metal but is a good conductor of electricity.
 Clue 2: I am a good conductor of heat.
 Clue 3: I am a good absorber of light.
 Clue 4: I am a poor reflector of light.",Carbon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a non-metal.
 Clue 3: It is a solid at room temperature.
 Clue 4: It is a poor conductor of electricity.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: A substance that reacts with an acid to produce a gas that turns limewater milky
 Clue 2: A substance that reacts with an acid to produce a gas that turns lime water milky
 Clue 3: A substance that reacts with an acid to produce a gas that turns lime water milky
 Clue 4: A substance that reacts with an acid to produce a gas that turns lime water milky",Metal<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am the product of the reaction between an acid and a base.
 Clue 2: I am a salt.
 Clue 3: I am a neutral compound.
 Clue 4: I am not an acid or a base.",Salt<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: I am a naturally occurring compound that has a high boiling point.
 Clue 2: I am a non-flammable compound.
 Clue 3: I am a compound that is insoluble in water.
 Clue 4: I am a compound that is used to make candles.",Wax<|end_of_text|>,Chemistry,,,,5
No,None,"I am a process in which one substance is replaced by another in a compound.
 Clue 1: I am a process in which one substance is replaced by another in a compound.
 Clue 2: I am a process in which one substance is replaced by another in a compound.
 Clue 3: I am a process in which one substance is replaced by another in a compound.
 Clue 4: I am a process in which one substance is replaced by another in a compound.",Metathesis<|end_of_text|>,Chemistry,,,,5
No,None,"I am a process in which one substance is replaced by another in a compound.
 Clue 1: I am a process in which one substance is replaced by another in a compound.
 Clue 2: I am a process in which one substance is replaced by another in a compound.
 Clue 3: I am a process in which one substance is replaced by another in a compound.
 Clue 4: I am a process in which one substance is replaced by another in a compound.",Metathesis<|end_of_text|>,Chemistry,,,,5
No,None,"I am the only element in the periodic table that is a gas at room temperature.
 Clue 1: I am a noble gas
 Clue 2: I am a halogen
 Clue 3: I am a diatomic element
 Clue 4: I am a member of group 17",Fluorine<|end_of_text|>,Chemistry,,,,5
No,None,"I am the only element in the periodic table that is a gas at room temperature.
 Clue 1: I am a noble gas
 Clue 2: I am a halogen
 Clue 3: I am a diatomic element
 Clue 4: I am a member of group 17",Fluorine<|end_of_text|>,Chemistry,,,,5
No,None,"I am a colorless gas which is used in fire extinguishers.
 Clue 1: I am a noble gas.
 Clue 2: I am not a halogen.
 Clue 3: I am a noble gas.
 Clue 4: I am not a halogen.",Argon<|end_of_text|>,Chemistry,,,,5
No,None,"I am a colorless gas which is used in fire extinguishers.
 Clue 1: I am a noble gas.
 Clue 2: I am not a halogen.
 Clue 3: I am a noble gas.
 Clue 4: I am not a halogen.",Argon<|end_of_text|>,Chemistry,,,,5
No,None,"I am a colorless gas which is used in fire extinguishers.
 Clue 1: I am a noble gas.
 Clue 2: I am not a halogen.
 Clue 3: I am a noble gas.
 Clue 4: I am not a halogen.",Argon<|end_of_text|>,Chemistry,,,,5
No,None,"I am a colorless gas which is used in fire extinguishers.
 Clue 1: I am a noble gas.
 Clue 2: I am not a halogen.
 Clue 3: I am a noble gas.
 Clue 4: I am not a halogen.",Argon<|end_of_text|>,Chemistry,,,,5
No,None,"A substance that is a liquid at room temperature and is a poor conductor of heat and electricity
 Clue 1: It is a compound of hydrogen and oxygen
 Clue 2: It is a component of rain
 Clue 3: It is a product of the combustion of hydrocarbons
 Clue 4: It is used to put out fires",Water<|end_of_text|>,Chemistry,,,,5
No,None,I am a substance that can be separated into two or more substances by heating.,Compound<|end_of_text|>,Chemistry,,,,5
No,None,A substance with the formula $\mathrm{X}_{2} \mathrm{O}_{3}$ has the empirical formula $\mathrm{XO}$.,$\mathrm{X}=\mathrm{Mn}$<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a solid at room temperature.
 Clue 3: It has a high melting point.
 Clue 4: It is a semiconductor.",Silicon<|end_of_text|>,Chemistry,,,,5
No,None,"Clue 1: It is a metalloid.
 Clue 2: It is a solid at room temperature.
 Clue 3: It has a high melting point.
 Clue 4: It is a semiconductor.",Silicon<|end_of_text|>,Chemistry,,,,5
Yes,Find the equation of the line that passes through the given point and is perpendicular to the given line.,"$(x, y)=(4, 1), y=2 x-5$",$y=-1 / 2 x+5$,,,,,1
Yes,Find the first three terms of the sequence whose general term is given,$\mathrm{U}_{\mathrm{n}}=2 \mathrm{n}^{2}+3 \mathrm{n}+1$,"$3,7,13$",,,,,1
Yes,Find the equation of the line that satisfies the given conditions,"The slope of the line is $5 / 2$ and the line passes through the point $(2,3)$",$y=5 x / 2+1$,,,,,1
Yes,Find the number of elements in the given set,The set of all positive integers that are multiples of 5 but not of 7.,2,,,,,1
Yes,Find the equation of the line in the form $\mathrm{y}=m \mathrm{x}+\mathrm{b}$ if the line passes through the given point and has the given slope.,"Slope $m=2$ ; point $\mathrm{A}(2,5)$",$\mathrm{y}=2 \mathrm{x}-1$,,,,,1
Yes,Evaluate the limit,$\lim _{x \rightarrow 0}\left(x^{2} / 2+x\right)$,$0$,,,,,1
Yes,Evaluate the limit,$\lim _{x \rightarrow 0}\left(x^{2} / 2+x\right)$,$0$,,,,,1
Yes,Find the area of the triangle with the given vertices.,"$\left(-2,-3\right),\left(1,2\right),\left(5,4\right)$",22,,,,,1
Yes,Evaluate the given expression for the given value of $x$,$\frac{2 x^{2}+3 x+1}{x^{2}-3 x+2}$ for $x=1$,$1 / 2$,,,,,1
Yes,Solve the equation for $x$,$\log _{3} x^{2}-\log _{3} x=2$,$x=9$,,,,,1
Yes,Find the sum of the first $n$ terms of an arithmetic progression,Find the sum of the first 11 terms of an arithmetic progression whose first term is 4 and whose common difference is 2,66,,,,,1
Yes,Find the area of the region bounded by the given curves.,"$y=x^{2}-x+1, y=2 x-1$",$$,,,,,1
Yes,Find the area of the triangle with the given base and altitude,5 cm and 3 cm,$10 \mathrm{cm}^{2}$,,,,,1
Yes,Find the sum of the first $n$ terms of the sequence whose $n$-th term is given by,$a_{n}=2^{n-1}$,$\left(2^{n}-1\right) / 2$<|end_of_text|>,,,,,1
Yes,Find the sum of the first $n$ terms of the sequence whose $n$-th term is given by,$a_{n}=2^{n-1}$,$\left(2^{n}-1\right) / 2$<|end_of_text|>,,,,,1
Yes,Find the real number $x$ that satisfies the given equation,$x^{2}+3 x-4=0$,"$-2,2$",,,,,1
Yes,Find the real number $x$ that satisfies the given equation,$x^{2}+3 x-4=0$,"$-2,2$",,,,,1
Yes,Find the equation of the line in slope-intercept form that passes through the given point and has the given slope.,"Point $\left(2,1\right)$ and slope $m=-1$",$y=-x+3$<|end_of_text|>,,,,,1
Yes,Evaluate,$\mathrm{f}(-3)$ if $\mathrm{f}(x)=2 x+5$,$-1$,,,,,1
Yes,Find the real root of the equation,$x^{3}-2 x^{2}+x-2=0$,"$x=1,-1,2$",,,,,1
Yes,Find the real root of the equation,$x^{3}-2 x^{2}+x-2=0$,"$x=1,-1,2$",,,,,1
Yes,Find the real root of the equation,$x^{3}-2 x^{2}+x-2=0$,"$x=1,-1,2$",,,,,1
Yes,Find the equation of the line through the given point and parallel to the given line.,"Point: $(-4,3)$, line: $y=2 x+1$",$y=-2 x+9$<|end_of_text|>,,,,,1
Yes,Find the value of the constant $k$ that makes the given equation an identity.,$x^{2}+k x+4=0$,$k=-8$,,,,,1
Yes,Evaluate the expression,$\left(\sqrt{2}-1\right)\left(\sqrt{2}+1\right)$,2,,,,,1
Yes,Solve for the indicated variable,"$\mathrm{x}=\log _{2} 8, \log _{2} 16=\mathrm{y}, \log _{2} 64=\mathrm{x}$
 Find the value of $\mathrm{x}+\mathrm{y}$",$2$,,,,,1
Yes,Find the length of the perpendicular from the point $P$ to the given line.,The line $\quad y=m x+b$ where $m=3$ and $b=-2$,2,,,,,1
Yes,Find the measure of the interior angle at the centre of the given regular polygon,20 sided polygon,$90^{\circ}$,,,,,1
Yes,Find the values of the variables,"$m+n=7, m-n=3, m+n=9$","$m=5, n=2$",,,,,1
Yes,Find the values of the variables,"$m+n=7, m-n=3, m+n=9$","$m=5, n=2$",,,,,1
Yes,Find the area of the given region,The region bounded by the curve $y=x^{2}-1$ and the $x$-axis,1,,,,,1
Yes,Find the first three terms of the geometric sequence whose fourth term is $8 / 3$ and whose fifth term is $1 / 6$,Find the fourth term of the geometric sequence whose second term is $- 64$ and whose sixth term is $- 1 / 64$,$1 / 16$,,,,,1
Yes,Find the equation of the line that passes through the given point and is parallel to the given line.,"Point $\left(3,-1\right)$, Line $y=2 x-1$",$y=2 x+1$,,,,,1
Yes,Find the area of the triangle.,A triangle has sides of lengths $5 \mathrm{~cm}$ and $4 \mathrm{~cm}$ and included angle $90^{\circ}$.,$4 \mathrm{~cm}^{2}$,,,,,1
Yes,Find the area of the triangle.,A triangle has sides of lengths $5 \mathrm{~cm}$ and $4 \mathrm{~cm}$ and included angle $90^{\circ}$.,$4 \mathrm{~cm}^{2}$,,,,,1
Yes,Evaluate the trigonometric expression,$\cos 120^{\circ}-\sin 120^{\circ}$,0,,,,,1
Yes,Find the value of $x$ in the given expression,$\log _{x} 2=\log _{3} 6$,$x=3$,,,,,1
Yes,Evaluate the given expression,$\frac{\sqrt{3}+2 \sqrt{2}}{2 \sqrt{3}-3 \sqrt{2}}$,$3+2 \sqrt{2}$,,,,,1
Yes,Solve the trigonometric equation for the given interval.,"$\cos ^{2} \theta=\frac{1}{4}, 0 \leq \theta<360$","$\theta=60,180,300,420,540,720$",,,,,1
Yes,Solve the trigonometric equation for the given interval.,"$\cos ^{2} \theta=\frac{1}{4}, 0 \leq \theta<360$","$\theta=60,180,300,420,540,720$",,,,,1
Yes,Find the derivative of the function,$\mathrm{y}=\mathrm{x}^{2}+\mathrm{x}^{-2}$,$\mathrm{y}^{\prime}=2 \mathrm{x}-2 \mathrm{x}^{-3}$,,,,,1
Yes,Find the value of the trigonometric function to three places of decimal,$\sin 150^{\circ}$,$-0.866$,,,,,1
Yes,Find the value of the trigonometric function to three places of decimal,$\sin 150^{\circ}$,$-0.866$,,,,,1
Yes,Evaluate the given expression for the given values of the variables.,$\sqrt{2} \times \sqrt{3}$ for $x=2$ and $y=3$,$2 \sqrt{3}$,,,,,1
Yes,Evaluate the given expression for the given values of the variables.,$\sqrt{2} \times \sqrt{3}$ for $x=2$ and $y=3$,$2 \sqrt{3}$,,,,,1
Yes,Find the area of the region bounded by the given curves,"$y=2 x, y=0, x=0, x=3$",$27 \mathrm{~cm}^{2}$,,,,,1
Yes,Find the area of the region bounded by the given curves,"$y=2 x, y=0, x=0, x=3$",$27 \mathrm{~cm}^{2}$,,,,,1
Yes,Find the area of the given sector of the circle,"Radius 12 cm, central angle $60^{\circ}$",$96 \pi \mathrm{cm}^{2}$,,,,,1
Yes,Find the equation of the tangent line to the given curve at the given point.,"$y=x^{2}-5 x+4$, at $(2,1)$",$y=3 x-7$,,,,,1
Yes,Find the equation of the tangent line to the given curve at the given point.,"$y=x^{2}-5 x+4$, at $(2,1)$",$y=3 x-7$,,,,,1
Yes,"Find the point on the line through the points $\mathrm{A}(3,1)$ and $\mathrm{B}(5,-3)$ which is",10 units from $\mathrm{A}$.,"$\mathrm{M}(1,7)$",,,,,1
Yes,"Find the point on the line through the points $\mathrm{A}(3,1)$ and $\mathrm{B}(5,-3)$ which is",10 units from $\mathrm{A}$.,"$\mathrm{M}(1,7)$",,,,,1
